category,name,code,value,unit,date,source,description
글로벌 매크로,금 선물,GC=F,2677.5,Point/Price,2025-01-14,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.31,Point/Price,2025-01-14,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.79,Point/Price,2025-01-14,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,96534.05,Point/Price,2025-01-14,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,109.27,Point/Price,2025-01-14,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.36,Point/Price,2025-01-15,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,26.39,Point/Price,2025-01-15,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2712.5,Point/Price,2025-01-15,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,109.09,Point/Price,2025-01-15,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.65,Point/Price,2025-01-15,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,100504.49,Point/Price,2025-01-15,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2746.4,Point/Price,2025-01-16,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,26.11,Point/Price,2025-01-16,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.41,Point/Price,2025-01-16,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.61,Point/Price,2025-01-16,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,99756.91,Point/Price,2025-01-16,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,108.96,Point/Price,2025-01-16,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.61,Point/Price,2025-01-17,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,26.75,Point/Price,2025-01-17,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,104462.04,Point/Price,2025-01-17,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2744.3,Point/Price,2025-01-17,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,109.35,Point/Price,2025-01-17,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.34,Point/Price,2025-01-17,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,104408.07,Point/Price,2025-01-18,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,101089.61,Point/Price,2025-01-19,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,102016.66,Point/Price,2025-01-20,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.57,Point/Price,2025-01-21,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2755.0,Point/Price,2025-01-21,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,27.85,Point/Price,2025-01-21,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.31,Point/Price,2025-01-21,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,106146.27,Point/Price,2025-01-21,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,108.06,Point/Price,2025-01-21,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.6,Point/Price,2025-01-22,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,28.97,Point/Price,2025-01-22,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,108.17,Point/Price,2025-01-22,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.27,Point/Price,2025-01-22,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,103653.07,Point/Price,2025-01-22,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2767.6,Point/Price,2025-01-22,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,29.57,Point/Price,2025-01-23,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,108.05,Point/Price,2025-01-23,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,103960.17,Point/Price,2025-01-23,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.3,Point/Price,2025-01-23,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.64,Point/Price,2025-01-23,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2763.1,Point/Price,2025-01-23,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.63,Point/Price,2025-01-24,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.29,Point/Price,2025-01-24,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,107.44,Point/Price,2025-01-24,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2777.3,Point/Price,2025-01-24,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,29.14,Point/Price,2025-01-24,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,104819.48,Point/Price,2025-01-24,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,104714.65,Point/Price,2025-01-25,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,102682.5,Point/Price,2025-01-26,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2737.5,Point/Price,2025-01-27,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.53,Point/Price,2025-01-27,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,25.87,Point/Price,2025-01-27,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,102087.69,Point/Price,2025-01-27,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,107.34,Point/Price,2025-01-27,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.2,Point/Price,2025-01-27,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2766.8,Point/Price,2025-01-28,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,101332.48,Point/Price,2025-01-28,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,26.32,Point/Price,2025-01-28,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.55,Point/Price,2025-01-28,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,107.87,Point/Price,2025-01-28,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.22,Point/Price,2025-01-28,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,108.0,Point/Price,2025-01-29,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.26,Point/Price,2025-01-29,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2769.1,Point/Price,2025-01-29,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,27.07,Point/Price,2025-01-29,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.55,Point/Price,2025-01-29,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,103703.21,Point/Price,2025-01-29,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,107.8,Point/Price,2025-01-30,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,104735.3,Point/Price,2025-01-30,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,27.6,Point/Price,2025-01-30,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.51,Point/Price,2025-01-30,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2823.0,Point/Price,2025-01-30,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.29,Point/Price,2025-01-30,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,27.02,Point/Price,2025-01-31,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.57,Point/Price,2025-01-31,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,108.37,Point/Price,2025-01-31,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.26,Point/Price,2025-01-31,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2812.5,Point/Price,2025-01-31,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,102405.02,Point/Price,2025-01-31,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,100655.91,Point/Price,2025-02-01,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,97688.98,Point/Price,2025-02-02,Yahoo Finance,
글로벌 매크로,미국 10년물 국채 금리,^TNX,4.54,Point/Price,2025-02-03,Yahoo Finance,
글로벌 매크로,비트코인,BTC-USD,101405.42,Point/Price,2025-02-03,Yahoo Finance,
글로벌 매크로,금 선물,GC=F,2833.9,Point/Price,2025-02-03,Yahoo Finance,
글로벌 매크로,Global X Uranium ETF,URA,26.71,Point/Price,2025-02-03,Yahoo Finance,
글로벌 매크로,달러 인덱스 (DXY),DX-Y.NYB,108.99,Point/Price,2025-02-03,Yahoo Finance,
글로벌 매크로,구리 선물,HG=F,4.29,Point/Price,2025-02-03,Yahoo Finance,
