category,name,code,value,unit,date,source,description
한국 내부 요인,대출평균금리(신규),BECBLA01,2.72,연%,202101,ECOS,
한국 내부 요인,M2(말잔),BBGA00,3065627.7,십억원,202101,ECOS,
한국 내부 요인,비거주자 외화예금,BCA902,7571.1,십억원,202101,ECOS,
한국 내부 요인,국고채(10년),5050000,1.731,연%,202101,ECOS,
한국 내부 요인,금융채금리(신규),BEABAA224,0.96,연%,202101,ECOS,
한국 내부 요인,가계대출금리(잔액),BECBLB0202,2.76,연%,202101,ECOS,
한국 내부 요인,저축성수신(요구불제외)(잔액),BEABAB21,1.17,연%,202101,ECOS,
한국 내부 요인,CD순발행,BCA4,20865.8,십억원,202101,ECOS,
한국 내부 요인,기업대출금리(신규),BECBLA02,2.69,연%,202101,ECOS,
한국 내부 요인,정기예금금리(신규),BEABAA211,0.85,연%,202101,ECOS,
한국 내부 요인,기업대출금리(잔액),BECBLB0201,2.84,연%,202101,ECOS,
한국 내부 요인,국고채(3년),5020000,0.975,연%,202101,ECOS,
한국 내부 요인,CD(91일)금리(신규),BEABAA2211,0.71,연%,202101,ECOS,
한국 내부 요인,"회사채(3년,AA-)",7020000,2.143,연%,202101,ECOS,
한국 내부 요인,CPI(총지수),0,101.04,2020=100,202101,ECOS,
한국 내부 요인,변동형주담대금리(신규),BECBLA030202,2.7,연%,202101,ECOS,
한국 내부 요인,고정형주담대금리(신규),BECBLA030201,2.57,연%,202101,ECOS,
한국 내부 요인,CPI(식료품),A01,103.55,2020=100,202101,ECOS,
한국 내부 요인,저축성수신(금융채제외)(신규),BEABAA1,0.85,연%,202101,ECOS,
한국 내부 요인,CPI(식료품 및 비주류음료),A,103.39,2020=100,202101,ECOS,
한국 내부 요인,총수신금리(잔액),BEABAB2,0.73,연%,202101,ECOS,
한국 내부 요인,공공기타대출금리(신규),BECBLA04,2.07,연%,202101,ECOS,
한국 내부 요인,일반신용대출금리(신규),BECBLA03051,3.46,연%,202101,ECOS,
한국 내부 요인,가계대출금리(신규),BECBLA03,2.83,연%,202101,ECOS,
한국 내부 요인,은행수신합계,BCA8,2092277.7,십억원,202101,ECOS,
한국 내부 요인,M2(평잔),BBHA00,3068301.1,십억원,202101,ECOS,
한국 내부 요인,외화예금,BCA2,105190.9,십억원,202101,ECOS,
한국 내부 요인,중소기업대출금리(신규),BECBLA0202,2.9,연%,202101,ECOS,
한국 내부 요인,비거주자 원화예금,BCA901,17955.8,십억원,202101,ECOS,
한국 내부 요인,저축성수신금리(신규),BEABAA2,0.87,연%,202101,ECOS,
한국 내부 요인,주택담보대출금리(신규),BECBLA0302,2.63,연%,202101,ECOS,
한국 내부 요인,총대출금리(잔액),BECBLB01,2.8,연%,202101,ECOS,
한국 내부 요인,대기업대출금리(신규),BECBLA0201,2.41,연%,202101,ECOS,
한국 내부 요인,원화예금,BCA1,1677621.6,십억원,202101,ECOS,
한국 내부 요인,달러/유로,0000003,1.2081,달러,20210118,ECOS,
한국 내부 요인,원/위안,0000053,169.75,원,20210118,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.835,엔,20210118,ECOS,
한국 내부 요인,원/미국달러,0000001,1097.9,원,20210118,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.685,엔,20210119,ECOS,
한국 내부 요인,원/위안,0000053,170.19,원,20210119,ECOS,
한국 내부 요인,원/미국달러,0000001,1104.4,원,20210119,ECOS,
한국 내부 요인,달러/유로,0000003,1.2076,달러,20210119,ECOS,
한국 내부 요인,원/미국달러,0000001,1102.1,원,20210120,ECOS,
한국 내부 요인,원/위안,0000053,169.66,원,20210120,ECOS,
한국 내부 요인,달러/유로,0000003,1.2135,달러,20210120,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.895,엔,20210120,ECOS,
한국 내부 요인,원/위안,0000053,169.95,원,20210121,ECOS,
한국 내부 요인,달러/유로,0000003,1.2115,달러,20210121,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.54,엔,20210121,ECOS,
한국 내부 요인,원/미국달러,0000001,1100.0,원,20210121,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.49,엔,20210122,ECOS,
한국 내부 요인,원/위안,0000053,170.2,원,20210122,ECOS,
한국 내부 요인,달러/유로,0000003,1.217,달러,20210122,ECOS,
한국 내부 요인,원/미국달러,0000001,1099.2,원,20210122,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.815,엔,20210125,ECOS,
한국 내부 요인,원/미국달러,0000001,1102.3,원,20210125,ECOS,
한국 내부 요인,원/위안,0000053,170.32,원,20210125,ECOS,
한국 내부 요인,달러/유로,0000003,1.2168,달러,20210125,ECOS,
한국 내부 요인,원/미국달러,0000001,1103.2,원,20210126,ECOS,
한국 내부 요인,원/위안,0000053,170.03,원,20210126,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.755,엔,20210126,ECOS,
한국 내부 요인,달러/유로,0000003,1.2143,달러,20210126,ECOS,
한국 내부 요인,원/미국달러,0000001,1103.0,원,20210127,ECOS,
한국 내부 요인,원/위안,0000053,170.1,원,20210127,ECOS,
한국 내부 요인,달러/유로,0000003,1.2162,달러,20210127,ECOS,
한국 내부 요인,일본엔/달러,0000002,103.63,엔,20210127,ECOS,
한국 내부 요인,달러/유로,0000003,1.2105,달러,20210128,ECOS,
한국 내부 요인,원/위안,0000053,170.71,원,20210128,ECOS,
